Age,UN General,Princeton East,Princeton North,Princeton South,Princeton West,AIDS
5,-1.0558 ,-1.0035 ,-1.0613 ,-0.9088 ,-1.0842 ,-0.8518 
10,-1.0060 ,-0.9621 ,-0.9787 ,-0.8743 ,-1.0329 ,-0.7992 
15,-0.9779 ,-0.9369 ,-0.9346 ,-0.8527 ,-0.9956 ,-0.7789 
20,-0.9381 ,-0.9014 ,-0.8858 ,-0.8221 ,-0.9449 ,-0.7400 
25,-0.8876 ,-0.8565 ,-0.8306 ,-0.7841 ,-0.8841 ,-0.6675 
30,-0.8322 ,-0.8085 ,-0.7720 ,-0.7431 ,-0.8214 ,-0.5550 
35,-0.7716 ,-0.7572 ,-0.7117 ,-0.7021 ,-0.7564 ,-0.4395 
40,-0.7054 ,-0.7014 ,-0.6490 ,-0.6578 ,-0.6886 ,-0.3475 
45,-0.6323 ,-0.6406 ,-0.5801 ,-0.6081 ,-0.6163 ,-0.2797 
50,-0.5472 ,-0.5697 ,-0.5086 ,-0.5521 ,-0.5354 ,-0.2268 
55,-0.4432 ,-0.4806 ,-0.4228 ,-0.4801 ,-0.4371 ,-0.1732 
60,-0.3141 ,-0.3653 ,-0.3210 ,-0.3886 ,-0.3187 ,-0.1105 
65,-0.1535 ,-0.2118 ,-0.1876 ,-0.2591 ,-0.1664 ,-0.0246 
70,0.0472 ,-0.0065 ,-0.0105 ,-0.0798 ,0.0260 ,0.1003 
75,0.2983 ,0.2668 ,0.2241 ,0.1754 ,0.2779 ,0.2644 
80,0.6132 ,0.6303 ,0.5305 ,0.5294 ,0.6087 ,0.4789 
85,1.0182 ,1.1332 ,0.9446 ,1.0331 ,1.0567 ,0.7683 
